Name,Flight Code,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Price
,,,,,,,
,,,,,,,
Lufthansa,"LH 1805, LH 2260",Madrid,18:25,Marseille,"08:30
+ 1 DAY",14 h 05 m,"15,157"
Iberia,IB 8746,Madrid,10:15,Marseille,12:00,01 h 45 m,"15,212"
,,,,,,,
,,,,,,,
Lufthansa,"LH 1801, LH 2260",Madrid,12:05,Marseille,"08:30
+ 1 DAY",20 h 25 m,"16,382"
Air France,"AF 1101, AF 7330",Madrid,20:10,Marseille,"09:05
+ 1 DAY",12 h 55 m,"17,361"
,,,,,,,
,,,,,,,
Vueling,"VY 1009, VY 1508",Madrid,22:35,Marseille,"17:15
+ 1 DAY",18 h 40 m,"23,124"
,,,,,,,
Air France,"AF 1401, AF 9402",Madrid,06:00,Marseille,14:25,08 h 25 m,"24,003"
Air France,"AF 1401, AF 9404",Madrid,06:00,Marseille,15:25,09 h 25 m,"24,031"
Air France,"AF 1801, AF 7330",Madrid,18:10,Marseille,"09:05
+ 1 DAY",14 h 55 m,"24,031"
Air France,"AF 1601, AF 9404",Madrid,16:20,Marseille,"15:25
+ 1 DAY",23 h 05 m,"24,149"
,,,,,,,
,,,,,,,
Brussels Airlines,"SN 3728, SN 3603",Madrid,17:35,Marseille,22:50,05 h 15 m,"28,213"
Air France,"AF 1301, AF 7340",Madrid,12:25,Marseille,19:05,06 h 40 m,"28,477"
Iberia,"IB 5005, IB 5070",Madrid,09:30,Marseille,17:15,07 h 45 m,"28,622"
Vueling,"VY 1003, VY 1508",Madrid,09:30,Marseille,17:15,07 h 45 m,"28,722"
Lufthansa,"LH 1801, LH 2264",Madrid,12:05,Marseille,17:45,05 h 40 m,"29,870"
,,,,,,,
Lufthansa,"LH 1807, LH 2264",Madrid,06:55,Marseille,17:45,10 h 50 m,"29,870"
TAP Portugal,"TP 1017, TP 404",Madrid,17:55,Marseille,23:40,05 h 45 m,"30,120"
TAP Portugal,"TP 1015, TP 404",Madrid,14:55,Marseille,23:40,08 h 45 m,"30,120"
Brussels Airlines,"SN 3732, SN 3597",Madrid,06:25,Marseille,11:10,04 h 45 m,"30,605"
Iberia,"IB 5007, IB 5070",Madrid,13:40,Marseille,17:15,03 h 35 m,"30,726"
,,,,,,,
Vueling,"VY 1005, VY 1508",Madrid,13:40,Marseille,17:15,03 h 35 m,"30,926"
Air France,"AF 1801, AF 7342",Madrid,18:10,Marseille,22:40,04 h 30 m,"33,174"
Air France,"AF 1301, AF 7338",Madrid,12:25,Marseille,17:05,04 h 40 m,"33,174"
Air France,"AF 1001, AF 7338",Madrid,10:00,Marseille,17:05,07 h 05 m,"33,174"
KLM Royal Dutch,"KL 1704, KL 1269",Madrid,16:50,Marseille,22:50,06 h,"33,410"
,,,,,,,
KLM Royal Dutch,"KL 1702, KL 1269",Madrid,13:00,Marseille,22:50,09 h 50 m,"33,410"
Turkish Airlines,"TK 1860, TK 1367",Madrid,17:50,Marseille,"17:05
+ 1 DAY",23 h 15 m,"33,656"
